"자치구","대여소명","기준년월","대여건수","반납건수"
"강동구","1038. 강일 다솜 어린이 공원","202407","350","392"
"강동구","1039. 고덕초등학교","202407","191","190"
"강동구","1041. 묘곡초등학교","202407","490","490"
"강동구","1042. 강일리버파크 2~5단지","202407","552","643"
"강동구","1044. 굽은다리역","202407","4421","4526"
"강서구","1150. 송정역 1번출구","202407","3336","3383"
"강서구","1151. 마곡역1번출구","202407","5399","5488"
"강서구","1152. 마곡역교차로","202407","5178","5287"
"강서구","1153. 발산역 1번, 9번 인근 대여소","202407","9368","9121"
"강서구","1155. 기쁜우리복지관","202407","2710","2655"
"강서구","1157. 강서구청","202407","4016","4399"
"성동구","510. 뚝도아리수정수센터 버스정류소 옆","202407","856","831"
"송파구","1251. 석촌역 2번출구","202407","3315","3302"
"송파구","1253. 오금역 3번 출구 뒤","202407","729","673"
"송파구","1256. 문정현대아파트 교차로","202407","782","767"
"송파구","1257. 가락시장역 사거리","202407","1326","1342"
"송파구","1258. 가락미륭아파트 앞","202407","443","366"
"송파구","1259. 방이역 1번출구","202407","1916","1916"
"송파구","1260. 방이동 한양3차아파트 옆","202407","1481","1479"
"성동구","511. 서울숲역 5번 출구 옆","202407","1382","1380"
"송파구","1262. 송파여성문화회관 앞","202407","2929","2937"
"송파구","1263. 장지공영차고지","202407","327","396"
"송파구","1264. 천호역 10번 출구 앞","202407","3615","3615"
"송파구","1266. 문정동 글샘 공원","202407","850","773"
"송파구","1267. 올림픽공원 남2문 앞","202407","1142","1089"
"송파구","1268. 몽촌토성역 1번출구 옆","202407","1612","1607"
"송파구","1269. 리센츠아파트 ","202407","1992","1674"
"송파구","1271. 송파도서관","202407","1224","1218"
"성동구","512. 뚝섬역 1번 출구 옆","202407","2870","2808"
"송파구","1274. 영파여고 앞","202407","1664","1558"
"중랑구","1442. 중랑구청 중화동 별관 앞","202407","2574","2606"
"중랑구","1444. 면목4치안센터","202407","1237","1678"
"중랑구","1445. 용마지구대 A","202407","277","398"
"중랑구","1446. 중랑전화국 교차로","202407","2063","2243"
"중랑구","1447. 면목역 3번출구","202407","2729","2829"
"중랑구","1448. 코스트코 상봉점","202407","2280","2277"
"마포구","400. 상암한화오벨리스크 1차 앞","202407","1228","1253"
"강북구","1526. 강북종합시장 앞","202407","988","957"
"강북구","1527. 미아역 1번 출구 뒤","202407","789","787"
"강북구","1528. 삼각산동 주민센터","202407","665","293"
"강북구","1529. 미아동 한국전력공사","202407","1361","1342"
"강북구","1530. 광산사거리","202407","1879","1962"
"강북구","1531. 미아사거리 1번 출구","202407","2310","2460"
"강북구","1532. 번3동 주민센터 교차로","202407","874","991"
"강북구","1533. 번동 주공3, 4단지 교차로","202407","922","1208"
"강북구","1535. 효성인텔리안 앞","202407","2022","2063"
"성동구","513. 뚝섬역 5번 출구 정류소 옆","202407","1433","1414"
"강북구","1536. 번동 두산위브 101동 옆","202407","693","716"
"노원구","1643. 태릉입구역 8번출구","202407","2093","2106"
"노원구","1646. 삼육대 입구","202407","328","400"
"노원구","1650. 중계근린공원내","202407","4123","4276"
"노원구","1651. 상계동 우방유쉘아파트 앞","202407","1426","1502"
"성동구","514. 성수사거리 버스정류장 앞","202407","3175","3184"
"노원구","1652. 파르코 앞","202407","478","483"
"노원구","1653. 노원역1번출구","202407","4230","4256"
"노원구","1654. 당고개입구 오거리","202407","743","728"
"노원구","1655. 공릉1단지아파트","202407","3297","3269"
"노원구","1656. 중앙하이츠 아파트 입구","202407","2875","2661"
"노원구","1657. 노원구청 ","202407","2127","2128"
"노원구","1659. 중계동 을지중학교","202407","937","878"
"노원구","1660. 서울시립과학관","202407","665","459"
"도봉구","1713. 쌍문동 이안아파트 앞","202407","630","230"
"광진구","515. 광양중학교 앞","202407","641","618"
"도봉구","1714. 도봉문화정보도서관 삼거리","202407","460","112"
"도봉구","1715. 서울특별시교육청도봉도서관","202407","917","897"
"도봉구","1716. 창동역 1번출구 건너편","202407","1160","1155"
"도봉구","1719. 신도봉사거리 버스정류장","202407","985","1029"
"도봉구","1720. 도봉구청 옆(중랑천변)","202407","1833","1934"
"도봉구","1721. 창동역 2번출구 ","202407","4237","5011"
"광진구","516. 광진메디칼 앞","202407","1684","1687"
"금천구","1839. 수출의 다리 아래","202407","823","837"
"금천구","1840. 솔브레인이엔지 뒤편","202407","818","884"
"금천구","1841. 가산동 주민센터","202407","1883","1927"
"금천구","1842. 한울중학교","202407","256","77"
"금천구","1843. 독산고등학교","202407","514","466"
"금천구","1845. 롯데캐슬골드파크1차 서문","202407","584","616"
"금천구","1846. 롯데캐슬골드파크1차 동문","202407","1273","1273"
"금천구","1847. 독산주공 14단지 버스정류소","202407","265","256"
"금천구","1848. 벽산 디지털밸리 5차","202407","1991","2186"
"동작구","2058. 동작경찰서","202407","1910","2229"
"동작구","2059. 보라매공원 정문","202407","1311","1376"
"동작구","2060. 남성역3번출구 뒤","202407","1409","1772"
"동작구","2061. 한강 현대아파트 건너편","202407","27","10"
"동작구","2062. 사당새마을금고","202407","459","409"
"관악구","2159. 인헌초교","202407","309","306"
"서초구","2266. 서초역 3번출구","202407","836","855"
"중구","300. 정동사거리","202407","1081","1063"
"서초구","2268. 서초4동주민센터 ","202407","1157","1239"
"서초구","2269. 주홍교 하부","202407","298","178"
"서초구","2270. 서초포레스타 7단지","202407","439","418"
"서초구","2271. 내방역 8번출구 앞","202407","723","802"
"서초구","2272. 교대입구 교차로","202407","487","450"
"서초구","2273. 일동제약 사거리","202407","707","721"
"서초구","2274. 양재시민의숲역 3번출구","202407","1632","1619"
"서초구","2275. 염곡치안센터 건너편","202407","200","253"
"서초구","2277. 길마중4교 하부","202407","1220","1361"
"종로구","301. 경복궁역 7번출구 앞","202407","1416","973"
"강남구","2362. 신사동 가로수길 입구","202407","749","665"
"강남구","2363. 강남 을지병원 교차로","202407","385","364"
"강남구","2364. 도산공원교차로","202407","593","555"
"강남구","2365. K+ 타워 앞","202407","757","856"
"강남구","2368. 도곡동 경남아파트 건너편","202407","516","350"
"강남구","2369. KT선릉타워","202407","1458","1452"
"강남구","2370. 한티역 3번출구","202407","444","393"
"종로구","302. 경복궁역 6번출구 뒤","202407","2446","2452"
"강남구","2371. 한국우편사업진흥원","202407","440","231"
"강남구","2372. 대치역 사거리","202407","987","1150"
"강남구","2373. 개포동역 사거리","202407","483","489"
"강남구","2375. 수서역 1번출구 앞","202407","1325","1523"
"강남구","2376. 수서역 6번출구 앞","202407","648","662"
"강남구","2377. 수서역 5번출구","202407","2680","2866"
"서대문구","3100. 북성초교","202407","278","251"
"서대문구","3101. 서대문구청","202407","269","236"
"종로구","303. 광화문역 1번출구 앞","202407","3159","2970"
"서대문구","3102. 연희삼거리","202407","1184","1171"
"광진구","3506. 영동대교 북단","202407","2087","2095"
"광진구","3507. 어린이회관","202407","1014","741"
"광진구","3508. 화양사거리","202407","1083","1028"
"광진구","3509. 세종사이버대학교","202407","3439","3608"
"성동구","3511. 응봉역 1번출구","202407","3086","3401"
"성동구","3513. 상왕십리역 1번출구","202407","2542","1347"
"성동구","3514. 왕십리교회옆","202407","2819","2873"
"성동구","3515. 서울숲 관리사무소","202407","1274","1099"
"서대문구","115. 마스타 빌딩 앞","202407","1087","807"
"성북구","1336. 성북3교 위","202407","1317","1176"
"성북구","1337. 돈암성당 옆","202407","1663","1729"
"성북구","1338. 용문2교 옆","202407","1346","1420"
"성북구","1339. 삼성전자서비스 성북센터","202407","988","976"
"성북구","1340. 광운초등학교 앞","202407","1106","1024"
"성북구","1342. 성북쉼터 앞","202407","114","34"
"성북구","1343. 한성대7번출구 앞","202407","534","529"
"성북구","1344. 아리랑시네센터 앞","202407","577","211"
"종로구","305. 종로구청 옆","202407","2668","2515"
"성북구","1346. 길음8골어린이공원 옆","202407","942","930"
"성북구","1347. 길음래미안아파트817동 상가 앞","202407","314","313"
"성북구","1348. 성북제일새마을금고 본점 앞","202407","640","734"
"성북구","1349. 월계2교 버스정류장 앞","202407","689","723"
"성북구","1351. 안암2교 옆","202407","1861","2038"
"성북구","1352. e 편한세상 보문아파트 내","202407","155","103"
"성북구","1353. 금호어울림센터힐 내","202407","260","259"
"구로구","1956. 동아1차APT105동 버스정류장(신도림중학교 방면)","202407","1989","2046"
"구로구","1957. 구일고등학교 정문 ","202407","2472","2524"
"구로구","1958. 강서수도사업소민원센터","202407","1806","1968"
"구로구","1959. 구로구의회 앞","202407","1657","1815"
"구로구","1960. 구로거리공원 동측(신도림역 방면)","202407","1396","1408"
"구로구","1961. 신도림테크노근린공원","202407","6442","6799"
"구로구","1962. 가리봉동주민센터","202407","1894","1796"
"구로구","1964. 원메디타운 앞","202407","2286","2327"
"구로구","1965. 삼환로즈빌아파트 105동 옆","202407","1224","1118"
"구로구","1966. 한마을아파트 정문상가","202407","1657","1709"
"구로구","1967. 참새공원(백곡경노당)","202407","416","493"
"종로구","307. 서울역사박물관 앞","202407","1041","1023"
"구로구","1968. 동인오피스텔 건너편 소공원","202407","185","190"
"구로구","1969. 궁동생태공원","202407","147","130"
"구로구","1971. 오정초교 앞 보도육교","202407","151","94"
"구로구","1973. 오리로와 서해안도로 교차로 앞","202407","437","301"
"구로구","1974. 신도림2차e편한세상아파트 203동 앞","202407","1266","1149"
"구로구","1975. 대림역 1번 출입구 밑","202407","1739","1735"
"구로구","1976. 남구로역 5번 출입구 앞","202407","798","562"
"구로구","1977. 천왕역 1번 출입구 앞","202407","1932","1650"
"종로구","308. 광화문 S타워 앞","202407","3118","2862"
"구로구","1981. 천왕지구삼거리 앞","202407","743","1051"
"강남구","2380. 삼성동베이직하우스앞","202407","455","435"
"강남구","2381. 언주역 3번출구앞","202407","484","485"
"강남구","2382. 역삼동 sk뷰 501동앞","202407","466","462"
"강남구","2383. 보금자리정원","202407","294","370"
"강서구","1158. 가양역 8번출구","202407","5156","5165"
"종로구","309. 광화문역 6번출구 옆 B","202407","962","661"
"강서구","1159. 서서울모터리움 앞","202407","915","845"
"강서구","1160. 양천향교역 7번출구앞","202407","6071","6099"
"강서구","1161. 강서면허시험장 앞","202407","469","255"
"강서구","1162. 공항초등학교건너편","202407","3638","3643"
"강서구","1163. 방화동강서기동대앞","202407","2935","2985"
"관악구","2164. 관악우체국","202407","1003","996"
"중구","310. 청계광장 옆","202407","1304","1059"
"관악구","2165. JK장평타워","202407","261","199"
"관악구","2167. 낙성대역 1번출구","202407","496","481"
"광진구","3518. 군자역 7번출구뒤","202407","5570","5622"
"관악구","2169. 봉천역 2번출구","202407","1417","1539"
"관악구","2170. 조원동 강남힐병원","202407","1103","1089"
"광진구","3517. 용마사거리","202407","1769","1877"
"관악구","2172. 나들목공원","202407","646","529"
"관악구","2173. 당곡사거리","202407","2829","2900"
"관악구","2174. 삼성디지털프라자관악점","202407","761","736"
"관악구","2175. 신림동걷고싶은문화의거리입구","202407","1555","1569"
"광진구","3516. 구의아리수정수센터앞","202407","968","846"
"구로구","1983. 구로동롯데아파트","202407","900","894"
"구로구","1984. 구로구청","202407","1499","1589"
"구로구","1985. 구로도서관","202407","3964","3649"
"금천구","1849. 대륭포스트타워5차","202407","533","559"
"금천구","1850. 코오롱테크노밸리","202407","314","342"
"노원구","1661. 당현천근린공원","202407","1771","1671"
"노원구","1662. 노원역7번출구","202407","3009","3104"
"노원구","1663. 동해문화예술관앞","202407","2417","2417"
"노원구","1665. 양지근린공원앞","202407","1751","1170"
"노원구","1666. 노원소방서인근","202407","908","773"
"노원구","1667. 중계중학교","202407","2172","2131"
"노원구","1668. 중계역 6번출구","202407","3248","3491"
"노원구","1669. 중계역 3번출구","202407","2655","2543"
"노원구","1670. 노원경찰서교차로","202407","1746","1722"
"노원구","1671. 인덕대학교","202407","750","824"
"노원구","1672. 상계동수락리버시티","202407","619","693"
"노원구","1674. 서울북부고용센터앞","202407","3497","3445"
"도봉구","1722. 창동청소년수련관","202407","1226","1251"
"도봉구","1723. 방학동학마을도서관","202407","564","550"
"도봉구","1725. 창1동주민센터","202407","572","675"
"도봉구","1726. 삼익세라믹아파트교차로","202407","1343","1222"
"도봉구","1727. 서울도봉초등학교인근","202407","630","554"
"동대문구","646. 장한평역 3번출구","202407","439","443"
"종로구","314. 국립현대미술관","202407","1259","1261"
"동대문구","648. 장안동위더스빌옆","202407","3345","3342"
"동대문구","650. 중랑교사거리","202407","1314","1222"
"서초구","2279. 교대역 5번출구뒤","202407","1514","1575"
"서초구","2280. 서울서초고용센터앞","202407","535","466"
"서초구","2281. 연세사랑병원신관앞","202407","395","392"
"서초구","2283. 그룹한빌딩옆","202407","376","112"
"서초구","2284. CJ오쇼핑앞","202407","238","138"
"서초구","2285. LH서초3단지 301동 맞은편","202407","404","398"
"서초구","2286. 탑성마을입구","202407","57","8"
"서초구","2287. 능안마을입구","202407","79","26"
"서초구","2288. 안골마을입구","202407","65","40"
"서초구","2289. 남태령역 2번출구","202407","119","36"
"성북구","1354. 고려대학교 2번출구","202407","1556","1571"
"종로구","316. 종각역 1번출구 앞","202407","2261","2175"
"영등포구","275. 신동아아파트","202407","3326","3351"
"영등포구","276. 영등포로터리2","202407","1502","1522"
"영등포구","278. 쌍용플레티넘오피스텔","202407","2938","2709"
"용산구","827. 국군복지단","202407","324","268"
"용산구","828. 숙대입구역 8번","202407","898","1092"
"용산구","829. 한강대교 북단 교차로","202407","1707","1619"
"용산구","830. 강변삼성스위트아파트 앞","202407","382","372"
"용산구","831. 이태원관광특구입구A(녹사평역쪽)","202407","215","189"
"은평구","954. 은평뉴타운구파발9단지","202407","777","797"
"은평구","956. 응암시장교차로","202407","2258","2666"
"중랑구","1449. 상봉역 1번출구","202407","2647","2646"
"중랑구","1450. 화랑대역 7번출구","202407","1973","2191"
"중랑구","1451. 중랑세무서","202407","2291","2478"
"중랑구","1452. 겸재교 진입부","202407","2403","2827"
"관악구","2171. 서울대입구역 5번출구","202407","1403","1393"
"강서구","1165. 마곡중학교 후문","202407","1827","1295"
"용산구","832. 이촌1동 주민센터 뒤","202407","1146","1110"
"중구","318. 광교사거리 남측","202407","1267","1276"
"용산구","834. 효창공원앞역 3번출구 뒤","202407","1716","1752"
"용산구","835. 남영역 건너편","202407","1134","1249"
"용산구","836. 현대자동차서비스 앞","202407","596","603"
"용산구","837. 한남나들목 입구","202407","939","1069"
"중랑구","1453. 중랑캠핑숲","202407","214","201"
"중랑구","1454. 한국전력공사(동대문 중랑지사)","202407","975","1133"
"성북구","1355. 보문2교","202407","2252","2459"
"노원구","1675. 월계문화체육센터","202407","374","300"
"노원구","1677. 육군사관학교  앞","202407","1198","1488"
"양천구","749. 이대목동병원보도육교","202407","1296","1469"
"강서구","1166. 강서구립등빛도서관","202407","5755","5737"
"강서구","1167. 마곡수명산파크3단지 교차로","202407","4562","4440"
"영등포구","279. 영등포 푸르지오 아파트 B","202407","2287","1853"
"동작구","2064. 흑석한강푸르지오 106동앞","202407","53","27"
"동작구","2065. 서울시여성가족재단","202407","431","439"
"관악구","2176. 보라매공원 보도육교","202407","2499","2486"
"중구","320. 을지로입구역 4번출구 앞","202407","1551","1545"
"서초구","2293. SPC 앞","202407","813","703"
"서초구","2294. 두상빌딩 앞","202407","1640","1725"
"강남구","2384. 자곡사거리","202407","1924","2175"
"강남구","2385. 학동역","202407","699","618"
"강남구","2386. 크린랩 본사","202407","199","145"
"송파구","1275. 거여초등학교 옆","202407","620","647"
"중구","321. KEB 하나금융그룹 명동사옥 옆","202407","1238","1222"
"강동구","1048. 둔촌어린이공원","202407","2445","2449"
"강동구","1049. 강일리버파크 10단지","202407","689","745"
"종로구","393. 동대문역 8번 출구","202407","2471","2457"
"종로구","394. 경희궁 자이 3단지","202407","1019","1173"
"종로구","395. 경희궁 자이 2단지","202407","1017","1021"
"중랑구","1455. 상봉역 2번 출구","202407","2801","2826"
"용산구","838. 숙대입구역 4번출구","202407","1514","1656"
"광진구","3520. 광진경찰서","202407","3287","3276"
"광진구","3521. 현대홈타운 뒷길","202407","410","413"
"중구","322. 명동성당 앞","202407","750","722"
"중랑구","1456. 상아빌딩(우림시장 교차로)","202407","1655","1708"
"성북구","1357. 북한산보국문역","202407","246","223"
"성북구","1358. 정릉도서관 앞","202407","505","524"
"성북구","1360. 정릉역","202407","528","579"
"강북구","1537. 북한산 우이역","202407","439","316"
"강북구","1538. 솔밭공원역","202407","192","192"
"강북구","1539. 4.19민주묘지역","202407","638","641"
"강북구","1540. 가오리역","202407","1066","1055"
"강북구","1541. 삼양역","202407","171","131"
"강북구","1542. 삼양사거리역","202407","361","339"
"노원구","1678. 성서대학교 밀알관","202407","390","346"
"노원구","1679. 삼육대 도서관","202407","302","234"
"노원구","1680. 삼육대 제3과학관","202407","90","66"
"마포구","427. 성산시영아파트","202407","1514","1676"
"양천구","750. 연의근린공원 건너편","202407","1254","1285"
"중구","324. 신세계백화점 본점 앞","202407","828","820"
"양천구","752. 성원2차 아파트","202407","949","781"
"강서구","1168. 마곡엠밸리10단지 앞","202407","2062","1842"
"금천구","1851. 가산디지털단지 9번출구 인근","202407","3710","3645"
"서초구","2297. 남부터미널역 1번출구","202407","759","566"
"서초구","2299. 한전아트센터 앞","202407","886","845"
"강남구","2387. 래미안강남힐즈 사거리","202407","1064","1073"
"송파구","1277. 성내7교","202407","1193","1265"
"송파구","1278. 송파구청 교차로","202407","1982","1977"
"송파구","1279. 마천금호어울림 1차아파트 건너편","202407","433","424"
"송파구","1280. 송파파크데일 2단지입구 앞 주차장","202407","623","544"
"송파구","1282. 송파소방서 맞은편(성내4교)","202407","1722","1986"
"송파구","1283. 오금공원 사거리","202407","133","102"
"송파구","1285. 위례별 유치원 뒤","202407","411","393"
"송파구","1286. 위례중앙푸르지오 1단지 앞","202407","1150","1165"
"송파구","1287. 위례아이파크 101동 맞은편","202407","489","482"
"송파구","1288. 문정중교 사거리","202407","1174","1074"
"종로구","326. 안국역 5번출구 앞","202407","1547","1169"
"강동구","1050.  둔촌역 3번 출입구","202407","5324","5402"
"강동구","1051. 강일중,선사고 버스정류장(신암중학교 방면)","202407","1216","1244"
"송파구","1289. 풍납토성 서성벽터B","202407","642","657"
"강북구","1543. 수유1동 주민센터","202407","739","720"
"성북구","1361. 홍익중고 입구","202407","1010","790"
"노원구","1681. 현대6차 아파트","202407","1769","1350"
"노원구","1682. 중계종합사회복지관 교차로","202407","646","636"
"광진구","3510. 중곡SK아파트앞","202407","759","611"
"광진구","3523. 건국대학교 과학관(이과대) 앞","202407","1046","1075"
"종로구","327. 낙원상가 옆","202407","1551","1539"
"종로구","397. 종묘공영주차장 건너편","202407","433","438"
"강남구","2388. 강남구 도시관리공단","202407","696","271"
"도봉구","1728. 서울북부지방법원","202407","458","443"
"중구","398. 을지로3가역 3번출구","202407","1981","1985"
"중구","399. 서울역 센트럴 자이아파트","202407","962","580"
"중구","428. 명보사거리","202407","633","585"
"중구","429. 송도병원","202407","93","59"
"중구","430. 장충동먹자골목 앞","202407","943","993"
"종로구","328. 탑골공원 앞","202407","820","790"
"중구","431. 청계천 영도교","202407","3960","3887"
"용산구","839. 보광동 삼성리버빌아파트 앞","202407","679","674"
"용산구","840. 용산 파크타워 앞","202407","422","409"
"용산구","841. 신용산역 1번 출구","202407","1918","1948"
"용산구","843. 이태원관광특구B(용산구청쪽)","202407","436","189"
"용산구","844. 이촌2동 동원베네스트 아파트 앞","202407","1292","1332"
"동대문구","652. 답십리 래미안엘파인아파트 입구","202407","931","978"
"동대문구","654. 전농동 텃골공원","202407","930","656"
"종로구","329. 청계2가 사거리 옆","202407","1506","1449"
"중랑구","1458. 상봉터미널2","202407","2072","2089"
"중랑구","1459. 용마한신아파트사거리","202407","336","200"
"성북구","1362. 보문역6번출구 앞","202407","1472","1584"
"성북구","1363. 보문4교 인근","202407","2063","2123"
"성북구","1364. 성북동 치안센터 앞","202407","671","664"
"성북구","1365. 선잠단지 앞","202407","295","254"
"성북구","1366. 일신초등학교 옆","202407","445","460"
"성북구","1367. 길음문화복합미디어센터","202407","486","560"
"성북구","1368. 성신여대입구 교차로","202407","777","840"
"도봉구","1729. 도봉한신아파트 버스정류장","202407","1251","1262"
"도봉구","1730. 도봉산역 교차로 앞","202407","236","253"
"도봉구","1731. 도봉고등학교 맞은편","202407","267","186"
"도봉구","1732. 방학역사거리","202407","782","888"
"도봉구","1733. 방학사거리 (봄마당 앞)","202407","701","758"
"도봉구","1734. 쌍문현대1차아파트 108동 앞","202407","927","719"
"도봉구","1735. 도봉역 1,2번 출구사이 건너편","202407","1014","1006"
"도봉구","1736. 버스정류장 앞","202407","580","415"
"도봉구","1737. 신창시장","202407","1754","1965"
"중구","331. 을지로2가 사거리 북측","202407","1546","1538"
"도봉구","1738. 창동주공17단지 상가앞","202407","1743","1813"
"노원구","1683. 노원문화예술회관","202407","2239","2180"
"노원구","1684. 태릉입구역 5번출구","202407","3684","3656"
"노원구","1685. 불암고등학교 앞 횡단보도","202407","1814","1611"
"노원구","1686. 상계주공10단지 종합상가 앞","202407","2215","2209"
"은평구","958. 본 서부병원 버스정류장(은평 세무서 방면)","202407","1344","1348"
"중구","332. 을지로2가 사거리 남측","202407","828","830"
"은평구","959. 구파발10단지 인근","202407","282","308"
"은평구","960. 구파발역 환승센터","202407","883","1000"
"은평구","961. 불광역 9번 출구","202407","1166","1224"
"은평구","962. 은평뉴타운 힐데스하임","202407","1213","1260"
"은평구","963. 불광롯데캐슬아파트 앞","202407","704","717"
"은평구","964. 북한산힐스테이트 7차아파트","202407","505","337"
"은평구","965. 서울특별시 은평병원","202407","581","186"
"은평구","966. 서울혁신파크1","202407","148","148"
"은평구","967. 서울혁신파크2","202407","308","320"
"은평구","968. 은평뉴타운 상림마을 13단지","202407","147","124"
"은평구","969. 은평 지웰테라스","202407","205","177"
"서대문구","3103. 홍제삼거리 북측","202407","923","920"
"서대문구","3104. e편한세상 신촌4단지 앞","202407","945","975"
"서대문구","3105. 홍은센트레빌 아파트 앞","202407","259","122"
"마포구","432. 마포중앙도서관","202407","313","98"
"양천구","754. 목동1단지아파트 118동 앞","202407","2420","2420"
"양천구","755. 목동1단지아파트 상가 앞","202407","3387","3372"
"양천구","756. 목동주차장","202407","1513","1552"
"양천구","757. 신정이펜하우스 1단지아파트 입구 사거리","202407","619","363"
"양천구","758. 한사랑교회 앞","202407","1378","1318"
"마포구","111. 상수역 2번출구 앞","202407","1603","1600"
"종로구","334. 종로3가역 2번출구 뒤","202407","1457","1409"
"양천구","759. 보아스아파트 앞","202407","856","978"
"양천구","760. 잣절보도육교 아래","202407","528","531"
"양천구","762. 오목로 무중력지대 앞","202407","918","777"
"양천구","763. 목동11단지 아파트","202407","1494","1309"
"강서구","1169. 염창역 1번 출구","202407","2718","2793"
"강서구","1170. 강서구보건소","202407","841","533"
"강서구","1171. 염창동 새마을금고 건너편","202407","1288","1341"
"강서구","1172. 가양3동 주민센터","202407","2044","2311"
"종로구","335. 종로3가역 15번출구 앞","202407","1299","1327"
"강서구","1173. 강서구청사거리(SH타워)","202407","4007","4018"
"강서구","1174. 강서구청사거리(부민병원)","202407","1810","1813"
"강서구","1175. 대한항공 인력개발센터","202407","1134","868"
"강서구","1177. 수명중?고교","202407","2285","2281"
"강서구","1178. 개화산역 2번 출구","202407","1035","1024"
"강서구","1180. 마곡엠밸리 15단지(1502동) 건너편","202407","3199","3295"
"강서구","1181. 농수산식품공사 (강서지사)","202407","411","432"
"강서구","1182. KBS 스포츠월드","202407","3840","3825"
"중구","336. 충무로역 6번출구 앞","202407","1337","1273"
"강서구","1183. 강서대학교","202407","458","342"
"구로구","1986. 태평양물산","202407","3525","3619"
"구로구","1987. 개봉아이파크아파트 앞","202407","1153","1236"
"구로구","1988. 고척LIGA아파트 앞","202407","2219","2240"
"구로구","1991. 오류동역 맞은편","202407","1673","1956"
"구로구","1992. 구로구배드민턴실내체육관 앞","202407","402","450"
"구로구","1993. 금강수목원아파트 앞","202407","814","845"
"구로구","1994. 삼성전자 물류센터 앞","202407","1673","1645"
"종로구","337. 창경궁 입구","202407","565","566"
"구로구","1996. 구일역 1번 출입구 앞","202407","1804","1803"
"금천구","1853. 서울디자인직업전문학교 앞","202407","531","516"
"금천구","1854. 가산아네스트 오피스텔 앞","202407","1010","419"
"금천구","1855. 성지아파트 옆 도로변","202407","146","175"
"금천구","1856. 모두의학교","202407","652","654"
"금천구","1857. 주공14단지","202407","298","297"
"영등포구","280. 양평동6차현대아파트 앞","202407","3877","3890"
"종로구","338. 세운스퀘어 앞","202407","760","750"
"영등포구","281. 대림신동아아파트 앞","202407","1183","1181"
"영등포구","282. 신한은행 대림동지점","202407","917","909"
"동작구","2066. 양문교회 앞","202407","1579","1924"
"동작구","2067. 보라매역?동작세무서 버스정류장(강남중학교방면)","202407","1601","1692"
"동작구","2068. 총신대 앞(육교)","202407","236","60"
"동작구","2070. 노량진역 2번 출구 앞","202407","1264","1484"
"관악구","2177. 신대방역 2번 출구","202407","4279","4665"
"관악구","2178. 서울대학교 정문","202407","495","209"
"관악구","2179. 양녕로 입구","202407","1156","1212"
